,Item,Receipts,Inv_Adj,Aftr_adj_Qty,Cost,Sales_Qty,year,month
151,Middle Atlantic MA-UNI-2,2.0,0.0,2.0,48.94,0.0,2019,8
152,Middle Atlantic MA-UTR1,1.0,0.0,1.0,18.98,0.0,2019,8
153,Middle Atlantic MA-VFD-40,3.0,0.0,3.0,625.17,0.0,2019,8
154,Middle Atlantic MA-VPM-4,1.0,0.0,1.0,58.64,0.0,2019,8
155,Middle Atlantic MA-VT1,44.0,0.0,44.0,389.84,0.0,2019,8
156,Middle Atlantic MA-VT2,28.0,0.0,28.0,307.16,0.0,2019,8
157,Middle Atlantic MA-VT3-CP6,5.0,0.0,5.0,373.35,0.0,2019,8
158,Middle Atlantic MA-VT4,17.0,0.0,17.0,446.25,0.0,2019,8
159,Middle Atlantic MA-VTP-1,1.0,0.0,1.0,15.61,0.0,2019,8
160,Middle Atlantic MA-WRK-RR40,2.0,0.0,2.0,149.5,0.0,2019,8
161,Monster Cable Prolink 10,2.0,-2.0,0.0,0.0,0.0,2019,8
162,Netgear GA311NA-AO,4.0,0.0,4.0,43.24,0.0,2019,8
163,Norsat 3120,28.0,0.0,28.0,4900.0,0.0,2019,8
164,NotaBotYet W15-R01-3,3.0,0.0,3.0,243.0,0.0,2019,8
165,Nott EN-6,1.0,0.0,1.0,0.01,0.0,2019,8
166,Nott GS-3,2.0,0.0,2.0,0.02,0.0,2019,8
167,On-Stage Stands DS6213,7.0,0.0,7.0,48.65,0.0,2019,8
168,On-Stage Stands DS7100B,3.0,0.0,3.0,15.75,0.0,2019,8
169,On-Stage Stands MSA-9508,4.0,0.0,4.0,35.4,0.0,2019,8
170,On-Stage Stands SS7745,2.0,0.0,2.0,19.98,0.0,2019,8
171,On-Stage Stands SSP7900,4.0,0.0,4.0,199.96,0.0,2019,8
172,Orban 5500i,1.0,0.0,1.0,2992.5,0.0,2019,8
173,Orban 6300,1.0,0.0,1.0,3367.5,0.0,2019,8
174,Orban 8600SI,1.0,0.0,1.0,7492.5,0.0,2019,8
175,Orban 8700i,16.0,0.0,16.0,179880.0,0.0,2019,8
176,Orban 9400,2.0,0.0,2.0,11985.0,0.0,2019,8
177,Panavise 110120B,2.0,0.0,2.0,68.98,0.0,2019,8
178,Paravel Systems Walltime,2.0,0.0,2.0,472.0,0.0,2019,8
179,Parker-Roto RR2514-18TWFF,2.0,0.0,2.0,778.0,0.0,2019,8
180,Phartronics PSI-V3,1.0,0.0,1.0,147.2,0.0,2019,8
181,Pice Macom SSP10/2150A,4.0,0.0,4.0,540.0,0.0,2019,8
182,Pico Macom SSP10/2150A ADAPTER,7.0,0.0,7.0,70.0,0.0,2019,8
183,Popless VAC-RE20,47.0,-47.0,0.0,0.0,0.0,2019,8
184,Popless Voice Screens VAC-PR40,9.0,4.0,13.0,676.0,0.0,2019,8
